"","year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass","long","lat","distance_to_port","implementation_date","size_km2","port_size","min_depth_m","max_depth_m","depth_range","implementation_year","mpa_age","landings_lb_20002006","landings_lb_sqkm_20002006"
"105",2014,"deep_reef","North","north","ten mile smr","smr","smr","targeted",0.112472144,-123.8132032,39.57645627,16828.99677,"12/19/2012",30.94,"very_small",0,1125.33,1125.33,"2012",2,516902.03,5997.70302138572
"106",2014,"deep_reef","North","north","ten mile smr","smr","ref","targeted",0.072476975,-123.8132032,39.57645627,16828.99677,"12/19/2012",30.94,"very_small",0,1125.33,1125.33,"2012",2,516902.03,5997.70302138572
"107",2014,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.033970676,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",11,20684400.47,73352.9054396628
"108",2014,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.144783167,-119.3840236,34.03783425,20504.5732,"09/04/2003",29.9,"medium",0,2326.12,2326.12,"2003",11,20684400.47,73352.9054396628
"109",2014,"deep_reef","South","south","campus point smca","smr","smca","nontargeted",0.015978365,-119.8692477,34.3830764,16592.39051,"01/01/2012",27.35,"small",0,2454.07,2454.07,"2012",2,1866680.3,11621.6487275012
"110",2014,"deep_reef","South","south","campus point smca","smr","smca","targeted",0.703719919,-119.8692477,34.3830764,16592.39051,"01/01/2012",27.35,"small",0,2454.07,2454.07,"2012",2,1866680.3,11621.6487275012
"111",2014,"deep_reef","South","south","campus point smca","smr","ref","nontargeted",0.000720295,-119.8692477,34.3830764,16592.39051,"01/01/2012",27.35,"small",0,2454.07,2454.07,"2012",2,1866680.3,11621.6487275012
"112",2014,"deep_reef","South","south","campus point smca","smr","ref","targeted",0.000236206,-119.8692477,34.3830764,16592.39051,"01/01/2012",27.35,"small",0,2454.07,2454.07,"2012",2,1866680.3,11621.6487275012
"113",2014,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.006815954,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",11,16669064.71,65210.338289838
"114",2014,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.022779942,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",11,16669064.71,65210.338289838
"115",2014,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.000174257,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",11,16669064.71,65210.338289838
"116",2014,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.061249455,-120.048551,34.04201245,52137.93253,"09/04/2003",33.1,"small",0,692.26,692.26,"2003",11,16669064.71,65210.338289838
"117",2014,"deep_reef","South","south","farnsworth offshore smca","smca","ref","nontargeted",0.009252947,-118.5167167,33.33321967,12295.8591,"01/01/2012",17.28,"small",442.91,6263.12,5820.21,"2012",2,9142995.6,57554.4835964517
"118",2014,"deep_reef","South","south","farnsworth offshore smca","smca","ref","targeted",0.226930738,-118.5167167,33.33321967,12295.8591,"01/01/2012",17.28,"small",442.91,6263.12,5820.21,"2012",2,9142995.6,57554.4835964517
"119",2014,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.018807848,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",11,45922774.35,203155.517872566
"120",2014,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.193747903,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",11,45922774.35,203155.517872566
"121",2014,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.001240617,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",11,45922774.35,203155.517872566
"122",2014,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.104626251,-119.8397831,33.93571053,53974.51236,"09/04/2003",51.62,"small",0,7234.25,7234.25,"2003",11,45922774.35,203155.517872566
"123",2014,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.009611427,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",11,8214051.58,30145.8979179714
"124",2014,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.166811847,-120.3498209,34.0933918,69905.57822,"09/04/2003",65.78,"small",0,1827.43,1827.43,"2003",11,8214051.58,30145.8979179714
