"class","order","family","genus","species","target_status","Surf zone","Kelp forest","Shallow reef","Deep reef"
"Actinopterygii","Centrarchiformes","Kyphosidae","Girella","nigricans","Targeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Serranidae","Paralabrax","clathratus","Targeted","X","X",NA,"X"
"Actinopterygii","Centrarchiformes","Kyphosidae","Medialuna","californiensis","Targeted","X",NA,NA,NA
"Actinopterygii","Eupercaria incertae sedis","Sciaenidae","Roncador","stearnsii","Targeted","X",NA,NA,NA
"Actinopterygii","Centrarchiformes","Kyphosidae","Kyphosus","azureus","Targeted","X",NA,NA,NA
"Actinopterygii","Mugiliformes","Mugilidae","Mugil","cephalus","Targeted","X",NA,NA,NA
"Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","parvipinnis","Nontargeted","X",NA,NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Pomacentridae","Chromis","punctipinnis","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Nontargeted",NA,"X","X","X"
"Actinopterygii","Perciformes","Pomacentridae","Hypsypops","rubicundus","Nontargeted",NA,"X","X","X"
"Actinopterygii","Perciformes","Labridae","Halichoeres","semicinctus","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Targeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Labridae","Oxyjulis","californica","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","mystinus","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Labridae","Semicossyphus","pulcher","Targeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","atrovirens","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Clinidae","Heterostichus","rostratus","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Nontargeted",NA,"X",NA,"X"
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rastrelliger","Targeted",NA,"X","X",NA
"Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Nontargeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","Targeted",NA,"X",NA,NA
"Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Targeted",NA,"X",NA,NA
