"year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass"
2008,"ccfrp","central","central","ano nuevo smr","smr","ref","targeted",69.7085197958151
2008,"ccfrp","central","central","ano nuevo smr","smr","smr","nontargeted",0.00484586579140654
2008,"ccfrp","central","central","ano nuevo smr","smr","smr","targeted",81.6501321958808
2008,"ccfrp","central","central","piedras blancas smr","smr","ref","nontargeted",0
2008,"ccfrp","central","central","piedras blancas smr","smr","ref","targeted",32.5923309698678
2008,"ccfrp","central","central","piedras blancas smr","smr","smr","nontargeted",0
2008,"ccfrp","central","central","piedras blancas smr","smr","smr","targeted",82.0319133780758
2008,"ccfrp","central","central","point buchon smr","smr","ref","nontargeted",0
2008,"ccfrp","central","central","point buchon smr","smr","ref","targeted",65.5424572028531
2008,"ccfrp","central","central","point buchon smr","smr","smr","nontargeted",0
2008,"ccfrp","central","central","point buchon smr","smr","smr","targeted",76.058229129145
2008,"ccfrp","central","central","point lobos smr","smr","ref","nontargeted",0
2008,"ccfrp","central","central","point lobos smr","smr","ref","targeted",42.280337059261
2008,"ccfrp","central","central","point lobos smr","smr","smr","nontargeted",0
